,Pads,Terra Enceladus,Sawtooth,,,,100.00%,0.0,Square,,-1,,,90.00%,,TRUE,FALSE,FALSE,,PW Osc2,Triangle/Sine,1.75,45.00%,,FALSE,,FALSE,Multi,"1,300",60.00%,600,49.00%,0.00%,0.00%,,,,,0.4,max,100.00%,2.25
,Sound Effects,Cat,PW 10%,1,5,,100.00%,0.0,PW 5%,,,,,100.00%,0.0,TRUE,FALSE,FALSE,,Pitch,Sine,1.7,,11 cents,FALSE,,FALSE,Multi,270,37.00%,160,30.00%,65.00%,65.00%,0.57,1.9,55.00%,0.29,0.51,1.05,55.00%,0.93
,Sound Effects,Digital Alarm Clock,PW 5%,,,,100.00%,0.0,Sawtooth,,,,,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Square,2,100.00%,,FALSE,,FALSE,Multi,"9,500",89.00%,"5,700",82.00%,0.00%,40.00%,,,,,0,max,100.00%,0
TRUE,Sound Effects,Journey to the Core,Sawtooth,-2,,,100.00%,0.0,Square,,-1,,,100.00%,0.0,TRUE,FALSE,FALSE,,Pitch Osc1/Osc2 7 semitones; PW osc2 = 100%,Sawtooth,7.5,,,FALSE,,FALSE,Multi,120,26.00%,120,26.00%,45.00%,100.00%,3.3,3.2,0.00%,3.2,0,max,100.00%,0.8
,Sound Effects,Kazoo,PW 15%,,,,100.00%,0.0,PW 2%,,,,,100.00%,0.0,TRUE,FALSE,FALSE,,Pitch,Noise,32,,70 cents,FALSE,,FALSE,Mono,"1,200",59.00%,600,49.00%,30.00%,50.00%,0.06,1.2,0.00%,0.63,0.03,3.9,0.00%,0.33
,Sound Effects,Laser,None,,,,0.00%,-40.0,None,,,,,,,,,TRUE,100.00%,,None,,,,FALSE,,FALSE,Mono,40,10.00%,40,10.00%,100.00%,100.00%,0,0.38,0.00%,0.25,0,0.45,0.00%,0.3
,Sound Effects,Motor,PW 25%,-2,0,0,100.00%,0.0,PW 25%,,-1,0,0,65.00%,,TRUE,FALSE,FALSE,,Amplitude,Square,32,40.00%,,TRUE,1.3,FALSE,Mono,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,max,100.00%,0.6
,Sound Effects,Nerd-O-Tron 2000,Sawtooth,,,,100.00%,0.0,Square,,2,,,100.00%,0.0,TRUE,FALSE,FALSE,,Filter cutoff,Noise,0.9,25.00%,,FALSE,,FALSE,Multi,680,51.00%,680,51.00%,85.00%,0.00%,,,,,0,max,100.00%,2
FALSE,Sound Effects,Ocean Waves,None,,,,0.00%,-40.0,None,,,,,,,,,TRUE,100.00%,Amplitude,Triangle,0.2,75.00%,,FALSE,,FALSE,Multi,"4,300",78.00%,"2,999",67.00%,30.00%,0.00%,,,,,0.4,max,100.00%,1
FALSE,Sound Effects,Ocean Waves - with Foghorn,Sawtooth,-1,,,100.00%,0.0,None,,,,,,,,,TRUE,100.00%,Amplitude,Triangle,0.2,75.00%,,FALSE,,FALSE,Multi,"4,300",78.00%,"2,999",67.00%,30.00%,0.00%,,,,,0.4,max,100.00%,1
TRUE,Sound Effects,Positronic Rhythm,Sawtooth,-2,0,0,100.00%,0.0,Square,,-1,0,0,100.00%,0.0,TRUE,FALSE,FALSE,,"LFO routing and depth - Pitch osc1, osc2 = 7 semis; PW osc2 = 100%",Square,4,,,FALSE,,FALSE,Multi,165,30.00%,165,30.00%,45.00%,100.00%,3.3,4,0.00%,2.9,0,max,100.00%,0.8
FALSE,Sound Effects,Space Attack!,Square,-1,0,0,100.00%,0.0,Sawtooth,,-1,0,0,100.00%,0.0,TRUE,FALSE,FALSE,,Pitch Osc1/Osc2,Sawtooth,2.5,,1200 cents,FALSE,,FALSE,Mono,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,max,100.00%,2
FALSE,Sound Effects,Toad,Triangle,1,0,0,100.00%,0.0,Square,,-2,0,0,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,32,100.00%,,TRUE,1.3,FALSE,Multi,40,10.00%,40,10.00%,0.00%,0.00%,,,,,0.09,0.23,0.00%,0.23
FALSE,Sound Effects,Wind,None,,,,0.00%,-40.0,None,,,,,,,,,TRUE,100.00%,Amplitude,Noise,0.7,40.00%,,FALSE,,FALSE,Multi,780,53.00%,780,53.00%,75.00%,0.00%,,,,,0.4,max,100.00%,2.7
FALSE,Strings,Banjo,PW 20%,0,0,0,100.00%,0.0,PW 10%,,0,5,0,80.00%,,TRUE,TRUE,FALSE,0.00%,Amplitude,Triangle,10,10.00%,,FALSE,,FALSE,5,"2,900",72.00%,"1,500",63.00%,0.00%,75.00%,0,0.19,0.00%,0.19,0,0.67,0.00%,0.67
FALSE,Strings,Cello,PW 10%,0,0,0,100.00%,0.0,Square,,0,0,0,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Sine,7.5,5.00%,,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,0.00%,90.00%,0,3.29,78.00%,max,0.06,max,100.00%,0.3
FALSE,Strings,Double Bass,PW 45%,-1,0,0,100.00%,0.0,Square,,0,0,0,60.00%,,TRUE,FALSE,FALSE,,Pitch,Triangle,5,,11 cents,FALSE,,FALSE,Multi,"1,600",63.00%,750,52.00%,0.00%,0.00%,,,,,0.35,max,100.00%,0.19
,Strings,Dulcimer,PW 25%,,-7,,80.00%,-7.6,PW 5%,,,,,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,1.5,22.00%,,FALSE,,FALSE,Multi,600,49.00%,200,33.00%,0.00%,50.00%,0,1.69,0.00%,1.78,0,4,0.00%,4
,Strings,"Guitar, Acoustic",PW 25%,,,,100.00%,0.0,PW 10%,,,10,,90.00%,,TRUE,TRUE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,"3,100",73.00%,"2,000",67.00%,0.00%,70.00%,0,0.35,0.00%,0.29,0,1.7,0.00%,1.7
,Strings,"Guitar, Electric",PW 20%,,,,65.00%,-13.4,PW 15%,,,10,,100.00%,0.0,TRUE,TRUE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,1.7,0.00%,1.7
,Strings,Harp,None,,,,0.00%,-40.0,Square,,,6,,100.00%,0.0,TRUE,TRUE,FALSE,,Amplitude,Triangle,7.5,6.00%,,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,5.00%,60.00%,0,0.37,78.00%,0.94,0,1.3,0.00%,3.3
,Strings,Hurdy Gurdy,PW 15%,,,,90.00%,-4.1,Square,D3,,,,100.00%,0.0,FALSE,FALSE,FALSE,,None,None,,,,TRUE,0.04,FALSE,Mono,40,10.00%,40,10.00%,0.00%,100.00%,0.04,max,100.00%,0.23,0,max,100.00%,0.85
,Strings,Kora,Triangle,,,,100.00%,0.0,Triangle,,1,,,100.00%,0.0,TRUE,FALSE,FALSE,,Pitch,Triangle,8,,8 cents,FALSE,,FALSE,Multi,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,2.33,0.00%,2.33
,Strings,Lute,Sawtooth,1,,,100.00%,0.0,Triangle,,,,,85.00%,,TRUE,FALSE,FALSE,,Pitch,Triangle,5,,47 cents,FALSE,,FALSE,Multi,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,0.66,0.00%,0.66
,Strings,Mandocello,PW 25%,,,,100.00%,0.0,PW 15%,,,,4,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,3,20.00%,,FALSE,,FALSE,Multi,"12,000",92.00%,"12,000",92.00%,30.00%,35.00%,0,1.78,0.00%,0,0,1.5,0.00%,1.5
,Strings,Mandolin,PW 25%,,,,100.00%,0.0,PW 15%,,1,,,75.00%,,TRUE,FALSE,FALSE,,Amplitude,Triangle,2,9.00%,,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,0.00%,100.00%,0,2.07,0.00%,2.13,0,0.09,20.00%,2.33
